REGION,DISTRICT,TRANSACTION_DATE,AMOUNT,METER_NUMBER,ACCOUNT_NUMBER,TRANSACTION_ID,TELCO,METRE_TYPE,METER_MAKE,Channels,PAYMENT_CHANNEL,Payment_Completed,Recharge_Fulfilled,Status,Status_Description,SPN,rechargeSource,Tracker
EASTERN,Koforidua ,20-02-1999,20,P171057657,741959243,A54x2FQQqX,ECG,MBH POWER,PREPAID,MOBILE APP,PowerApp Balance,1,1,success,,204299088,mobile-app,1
TEMA,South Tema ,17-02-1999,20,P191085381,712760732,6Khshkqp44,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201296199,mobile-app,1
TEMA,Afienya ,20-02-1999,30,P161181837,745112455,cDjq2CD4XH,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204636930,mobile-app,1
CENTRAL,Cape-Coast ,20-02-1999,50,P201141486,748843032,cDQDsDmJfN,mtn,Empower Smart,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205020199,mobile-app,1
ACCRA EAST,Roman Ridge ,17-02-1999,3,P15307280,728232430,11073,afrifanom,Aimir,PREPAID,MOBILE APP,OLTPV,1,1,success,,201517955,oltpv,1
ACCRA EAST,Roman Ridge ,17-02-1999,4,P15307280,728232430,11074,afrifanom,Aimir,PREPAID,MOBILE APP,OLTPV,1,1,success,,201517955,oltpv,1
ACCRA WEST,Ablekuma ,17-02-1999,10,P191057229,729370079,22cdDxjrq6,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202955218,mobile-app,1
ACCRA EAST,Kwabenya ,17-02-1999,100,P161207873,740327926,fZ2r9gXjqx,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204120943,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,20,P201237439,751769966,kBYNq3kwGS,ECG,Nuri,PREPAID,MOBILE APP,PowerApp Balance,1,1,success,,205312993,mobile-app,1
TEMA,South Tema ,17-02-1999,100,P191064433,748010658,KcAfcDJ2XR,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204931569,mobile-app,1
ACCRA WEST,Ablekuma ,17-02-1999,100,P19301679,728659976,BJ9AHydPDy,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202946507,mobile-app,1
TEMA,South Tema ,17-02-1999,29,P191083246,712522033,BjBPPeFe8M,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201272073,mobile-app,1
ACCRA EAST,Mampong ,17-02-1999,40,P161107464,742189888,XR3tPG3PBP,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204324031,mobile-app,1
ACCRA EAST,Teshie ,20-02-1999,40,P191178787,729170333,JwQbbcDY88,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203047485,mobile-app,1
ACCRA EAST,Roman Ridge ,20-02-1999,10,P161205419,738038322,2ZfFNdS6rx,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203874894,mobile-app,1
TEMA,South Tema ,20-02-1999,300,P19309759,712442636,GrWtQd6bnt,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201265821,mobile-app,1
WESTERN,Takoradi ,16-02-1999,50,24912042611,755192017,jRZEAGYPQ2,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205616084,mobile-app,1
ACCRA WEST,Korle-bu ,16-02-1999,15,24912025319,757530792,jRzjKEZP7Q,vodafone,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205862288,mobile-app,1
TEMA,Nungua ,16-02-1999,10,P191060927,742003852,JS4Mg8cXec,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204303807,mobile-app,1
TEMA,Afienya ,16-02-1999,20,P191120289,749087006,jS5a2hfSA4,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205046483,mobile-app,1
ACCRA WEST,Amasaman ,16-02-1999,30,P191115645,746013194,js9qC3Ytht,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204730596,mobile-app,1
